Date/Time,ActivePower,WindSpeed,Power,WindDirection,Time,TimeDiff,Gust
21 01 2018 07:50,2590.170898,9.720999718,2606.061762,199.6873932,50,10,1.629031181
21 01 2018 08:00,3053.748047,10.65167999,3135.080064,199.8244019,0,-50,0.930680275
21 01 2018 08:10,3004.950928,10.69112968,3152.129051,198.0520935,10,10,0.039449692
21 01 2018 08:20,2642.041992,9.91208744,2736.217762,195.7677002,20,10,-0.779042244
21 01 2018 08:30,2447.811035,10.00693989,2796.409484,192.7487946,30,10,0.094852448
21 01 2018 08:40,3031.455078,10.78855991,3192.566506,189.8200073,40,10,0.781620026
21 01 2018 08:50,3441.068115,11.96621037,3516.597689,188.9161987,50,10,1.177650452
21 01 2018 09:00,3300.00708,11.47566986,3415.749263,185.5930023,0,-50,-0.490540504
21 01 2018 09:10,2863.563965,10.07833004,2839.851577,185.2926025,10,10,-1.397339821
21 01 2018 09:20,3255.093018,11.18597984,3334.228199,185.531601,20,10,1.107649803
21 01 2018 09:30,3404.523926,12.36946011,3568.059552,186.9369965,30,10,1.183480263
21 01 2018 09:40,3463.333984,13.01047039,3600,186.2631073,40,10,0.641010284
21 01 2018 09:50,3460.189941,13.60538006,3600,182.2144928,50,10,0.594909668
21 01 2018 10:00,3464.602051,14.24580002,3600,180.5995026,0,-50,0.64041996
21 01 2018 10:10,3466.834961,14.33705044,3600,175.559494,10,10,0.09125042
21 01 2018 10:20,3489.9729,14.32849026,3600,173.4860992,20,10,-0.008560181
21 01 2018 10:30,3489.172119,14.09694958,3600,178.8554993,30,10,-0.23154068
21 01 2018 10:40,3470.38501,14.11285019,3600,178.5003052,40,10,0.015900612
21 01 2018 10:50,3464.387939,13.54226017,3600,183.6672974,50,10,-0.570590019
21 01 2018 11:00,3457.166016,13.55580997,3600,184.4938965,0,-50,0.013549805
21 01 2018 11:10,3468.033936,13.56587029,3600,191.3428955,10,10,0.01006031
21 01 2018 11:20,3512.610107,13.94935989,3600,198.5944977,20,10,0.383489609
21 01 2018 11:30,3522.990967,11.8768301,3501.484528,192.7613068,30,10,-2.072529793
21 01 2018 11:40,3330.412109,11.60548973,3446.806826,190.4589996,40,10,-0.27134037
21 01 2018 11:50,3492.300049,12.5489502,3582.608481,186.673996,50,10,0.943460464
21 01 2018 12:00,3365.986084,12.16732979,3545.605876,182.7035065,0,-50,-0.381620407
21 01 2018 12:10,3589.034912,13.13903046,3600,177.9221039,10,10,0.971700668
21 01 2018 12:20,3563.385986,14.10027027,3600,176.9927979,20,10,0.961239815
21 01 2018 12:30,3507.780029,14.81103039,3600,177.9779053,30,10,0.710760117
21 01 2018 12:40,3464.709961,15.27003002,3600,179.9277039,40,10,0.458999634
21 01 2018 12:50,3500.935059,14.9907198,3600,178.8928986,50,10,-0.279310226
21 01 2018 13:00,3587.157959,13.91779041,3600,174.6092987,0,-50,-1.072929382
21 01 2018 13:10,3603.465088,13.94892979,3600,171.335495,10,10,0.031139374
21 01 2018 13:20,3602.287109,12.93955994,3597.593032,167.8535004,20,10,-1.00936985
21 01 2018 13:30,3603.631104,13.73659992,3600,169.2626038,30,10,0.797039986
21 01 2018 13:40,3601.080078,14.53211021,3600,172.4120026,40,10,0.795510292
21 01 2018 13:50,3526.674072,15.16981983,3600,176.1289063,50,10,0.637709618
21 01 2018 14:00,3494.030029,14.82614994,3600,174.5986023,0,-50,-0.343669891
21 01 2018 14:10,3502.416016,14.65530968,3600,175.3993988,10,10,-0.170840263
21 01 2018 14:20,3508.648926,14.34951973,3600,175.5023956,20,10,-0.305789948
21 01 2018 14:30,3472.544922,15.01305962,3600,178.8862,30,10,0.663539886
21 01 2018 14:40,3463.206055,14.90837002,3600,181.6448975,40,10,-0.104689598
21 01 2018 14:50,3469.166016,14.50492001,3600,181.7971954,50,10,-0.403450012
21 01 2018 15:00,3466.947998,14.82950974,3600,179.1573029,0,-50,0.324589729
21 01 2018 15:10,3464.706055,14.36627007,3600,177.8170013,10,10,-0.46323967
21 01 2018 15:20,3492.455078,13.74201012,3600,176.9127045,20,10,-0.624259949
21 01 2018 15:30,3590.204102,13.32293987,3600,177.1412048,30,10,-0.419070244
21 01 2018 15:40,3576.727051,13.22727013,3600,177.622406,40,10,-0.095669746
21 01 2018 15:50,3573.764893,14.0426302,3600,179.1038971,50,10,0.815360069
